Transaction,Item,date_time,period_day,weekday_weekend,store_id,name,postcode,lat,lon,date,temp_max,temp_min,precipitation
7,Coffee,10/30/2016 10:19,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
7,Tea,10/30/2016 10:19,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
8,Pastry,10/30/2016 10:20,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
8,Bread,10/30/2016 10:20,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
9,Bread,10/30/2016 10:21,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
9,Muffin,10/30/2016 10:21,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
10,Scandinavian,10/30/2016 10:25,morning,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
10,Medialuna,10/30/2016 10:25,morning,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
11,Bread,10/30/2016 10:27,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
11,Medialuna,10/30/2016 10:27,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
11,Bread,10/30/2016 10:27,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
12,Jam,10/30/2016 10:30,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
12,Coffee,10/30/2016 10:30,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
12,Tartine,10/30/2016 10:30,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
12,Pastry,10/30/2016 10:30,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
12,Tea,10/30/2016 10:30,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
13,Basket,10/30/2016 10:31,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
13,Bread,10/30/2016 10:31,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
13,Coffee,10/30/2016 10:31,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
14,Bread,10/30/2016 10:32,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
14,Medialuna,10/30/2016 10:32,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
14,Pastry,10/30/2016 10:32,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
15,Mineral water,10/30/2016 10:34,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
15,Scandinavian,10/30/2016 10:34,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
16,Bread,10/30/2016 10:37,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
16,Medialuna,10/30/2016 10:37,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
16,Coffee,10/30/2016 10:37,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
17,Hot chocolate,10/30/2016 10:38,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
18,Farm House,10/30/2016 10:41,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
19,Farm House,10/30/2016 10:43,morning,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
19,Bread,10/30/2016 10:43,morning,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
20,Bread,10/30/2016 10:45,morning,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
20,Medialuna,10/30/2016 10:45,morning,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
21,Coffee,10/30/2016 10:49,morning,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
21,Coffee,10/30/2016 10:49,morning,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
21,Medialuna,10/30/2016 10:49,morning,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
21,Bread,10/30/2016 10:49,morning,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
22,Jam,10/30/2016 10:52,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
23,Scandinavian,10/30/2016 10:53,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
23,Muffin,10/30/2016 10:53,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
24,Bread,10/30/2016 10:54,morning,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
25,Scandinavian,10/30/2016 10:55,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
26,Fudge,10/30/2016 10:56,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
27,Scandinavian,10/30/2016 11:02,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
28,Coffee,10/30/2016 11:03,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
28,Bread,10/30/2016 11:03,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
29,Bread,10/30/2016 11:05,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
29,Jam,10/30/2016 11:05,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
30,Bread,10/30/2016 11:07,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
31,Basket,10/30/2016 11:12,morning,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
32,Scandinavian,10/30/2016 11:16,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
32,Muffin,10/30/2016 11:16,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
33,Coffee,10/30/2016 11:22,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
34,Coffee,10/30/2016 11:25,morning,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
34,Muffin,10/30/2016 11:25,morning,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
35,Muffin,10/30/2016 11:27,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
35,Scandinavian,10/30/2016 11:27,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
36,Tea,10/30/2016 11:33,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
36,Bread,10/30/2016 11:33,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
37,Coffee,10/30/2016 11:37,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
37,Bread,10/30/2016 11:37,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
38,Bread,10/30/2016 11:42,morning,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
38,Tea,10/30/2016 11:42,morning,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
39,Scandinavian,10/30/2016 11:44,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
40,Juice,10/30/2016 11:55,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
40,Tartine,10/30/2016 11:55,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
40,Coffee,10/30/2016 11:55,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
40,Muffin,10/30/2016 11:55,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
41,Scandinavian,10/30/2016 11:57,morning,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
42,Bread,10/30/2016 11:57,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
42,Tea,10/30/2016 11:57,morning,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
43,Scandinavian,10/30/2016 12:00,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
43,Fudge,10/30/2016 12:00,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
44,Coffee,10/30/2016 12:05,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
44,Medialuna,10/30/2016 12:05,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
45,Coffee,10/30/2016 12:08,afternoon,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
45,Hot chocolate,10/30/2016 12:08,afternoon,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
45,Medialuna,10/30/2016 12:08,afternoon,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
46,Coffee,10/30/2016 12:09,afternoon,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
47,Ella's Kitchen Pouches,10/30/2016 12:15,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
47,Juice,10/30/2016 12:15,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
47,Bread,10/30/2016 12:15,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
47,Muffin,10/30/2016 12:15,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
47,Jam,10/30/2016 12:15,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
48,Coffee,10/30/2016 12:17,afternoon,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
49,Coffee,10/30/2016 12:23,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
49,Coffee,10/30/2016 12:23,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
49,Medialuna,10/30/2016 12:23,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
50,Bread,10/30/2016 12:25,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
50,Victorian Sponge,10/30/2016 12:25,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
51,Bread,10/30/2016 12:26,afternoon,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
52,Scandinavian,10/30/2016 12:28,afternoon,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
54,Bread,10/30/2016 12:33,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
55,Frittata,10/30/2016 12:38,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
55,Coffee,10/30/2016 12:38,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
55,Tea,10/30/2016 12:38,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
55,Hearty & Seasonal,10/30/2016 12:38,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
56,Coffee,10/30/2016 12:39,afternoon,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
56,Frittata,10/30/2016 12:39,afternoon,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
57,Scandinavian,10/30/2016 12:45,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
58,Victorian Sponge,10/30/2016 12:59,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
58,Hot chocolate,10/30/2016 12:59,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
58,Tea,10/30/2016 12:59,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
58,Soup,10/30/2016 12:59,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
59,Tea,10/30/2016 13:02,afternoon,weekend,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-30,12.9,8.6,3.3
60,Cookies,10/30/2016 13:14,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
60,Coffee,10/30/2016 13:14,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
60,Juice,10/30/2016 13:14,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
60,Coffee,10/30/2016 13:14,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
61,Coffee,10/30/2016 13:15,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
62,Pick and Mix Bowls,10/30/2016 13:24,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
62,Hearty & Seasonal,10/30/2016 13:24,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
62,Hearty & Seasonal,10/30/2016 13:24,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
62,Coffee,10/30/2016 13:24,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
62,Smoothies,10/30/2016 13:24,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
62,Coffee,10/30/2016 13:24,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
63,Coffee,10/30/2016 13:33,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
64,Cake,10/30/2016 13:34,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
65,Tartine,10/30/2016 13:37,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
65,Mighty Protein,10/30/2016 13:37,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
65,Tea,10/30/2016 13:37,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
65,Coffee,10/30/2016 13:37,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
66,Hearty & Seasonal,10/30/2016 13:40,afternoon,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
66,Frittata,10/30/2016 13:40,afternoon,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
66,Mineral water,10/30/2016 13:40,afternoon,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
67,Hearty & Seasonal,10/30/2016 13:46,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
67,Mineral water,10/30/2016 13:46,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
67,Muffin,10/30/2016 13:46,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
68,Frittata,10/30/2016 13:49,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
68,Coffee,10/30/2016 13:49,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
68,Tea,10/30/2016 13:49,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
68,Scandinavian,10/30/2016 13:49,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
68,Chicken sand,10/30/2016 13:49,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
69,Bread,10/30/2016 13:51,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
69,Tea,10/30/2016 13:51,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
69,Victorian Sponge,10/30/2016 13:51,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
70,Fudge,10/30/2016 13:54,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
71,Muffin,10/30/2016 13:56,afternoon,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
72,Coffee,10/30/2016 14:21,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
72,Bread,10/30/2016 14:21,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
73,Bread,10/30/2016 14:22,afternoon,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
74,Coffee,10/30/2016 14:24,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
74,Bread,10/30/2016 14:24,afternoon,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
75,Jam,10/30/2016 14:32,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
75,Frittata,10/30/2016 14:32,afternoon,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
76,Coffee,10/30/2016 14:32,afternoon,weekend,store_1,Aran Bakery,PH8 0AR,56.565,-3.587,2016-10-30,12.7,8.2,0.0
77,Scandinavian,10/30/2016 14:35,afternoon,weekend,store_6,Deanston Bakery,G41 3LP,55.83,-4.28,2016-10-30,12.9,9.2,0.9
78,Fudge,10/30/2016 14:42,afternoon,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
79,Fudge,10/30/2016 14:45,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
79,Tea,10/30/2016 14:45,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
79,Coffee,10/30/2016 14:45,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
79,Muffin,10/30/2016 14:45,afternoon,weekend,store_5,The Bakery Inverness,IV3 5DT,57.477,-4.229,2016-10-30,13.4,8.9,2.5
80,Frittata,10/30/2016 14:48,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
80,Bread,10/30/2016 14:48,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
80,Coffee,10/30/2016 14:48,afternoon,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
81,Coffee,10/31/2016 8:28,morning,weekday,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-31,12.9,8.6,1.2
81,Cake,10/31/2016 8:28,morning,weekday,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-31,12.9,8.6,1.2
82,Tartine,10/31/2016 8:47,morning,weekday,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-31,12.5,9.4,5.4
82,Bread,10/31/2016 8:47,morning,weekday,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-31,12.5,9.4,5.4
83,Coffee,10/31/2016 8:57,morning,weekday,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-31,11.9,8.6,9.2
83,Bread,10/31/2016 8:57,morning,weekday,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-31,11.9,8.6,9.2
84,Bread,10/31/2016 9:04,morning,weekday,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-31,12.5,9.4,5.4
85,Coffee,10/31/2016 9:10,morning,weekday,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-31,12.5,9.1,6.2
85,Coffee,10/31/2016 9:10,morning,weekday,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-31,12.5,9.1,6.2
85,Pastry,10/31/2016 9:10,morning,weekday,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-31,12.5,9.1,6.2
85,Medialuna,10/31/2016 9:10,morning,weekday,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-31,12.5,9.1,6.2
86,Juice,10/31/2016 9:11,morning,weekday,store_3,Bad Girl Bakery,IV6 7TP,57.518,-4.457,2016-10-31,10.7,6.3,10.5
